img,bodyPartName,bodyPartConf,eq_type,eq_conf,eqCover_conf,eq_box,eqCover_bool
image-asset/1684177591-huge.jpg,FACE,99.45880889892578,FACE_COVER,99.93412780761719,90.72356414794922,0.01955409282569287,True
image-asset/1684177591-huge.jpg,HEAD,99.96925354003906,HEAD_COVER,68.63182067871094,95.6654052734375,0.039268332639522896,True
image-asset/1684177591-huge.jpg,FACE,96.01881408691406,FACE_COVER,99.7204360961914,89.32535552978516,0.00992293217039586,True
image-asset/1684177591-huge.jpg,HEAD,99.60862731933594,HEAD_COVER,95.79817962646484,98.06641387939453,0.05112612699494257,True
image-asset/1684177591-huge.jpg,FACE,94.26683044433594,FACE_COVER,99.80140686035156,96.19775390625,0.010403888593578325,True
image-asset/1684177591-huge.jpg,HEAD,99.4603271484375,HEAD_COVER,98.42671966552734,99.8376235961914,0.027024621395432824,True
image-asset/1684177591-huge.jpg,FACE,84.16205596923828,FACE_COVER,99.79448699951172,56.526756286621094,0.0064029387474500155,True
image-asset/1684177591-huge.jpg,HEAD,91.68744659423828,HEAD_COVER,89.45013427734375,99.99999237060547,0.00960006275948655,False
image-asset/1684177591-huge.jpg,FACE,99.14076232910156,FACE_COVER,99.95356750488281,87.31460571289062,0.006393664839970725,True
image-asset/abdul-zreika-pMzlO7xJAd4-unsplash.jpg,HEAD,61.04894256591797,HEAD_COVER,84.34175109863281,99.54634094238281,0.004624139130314925,True
image-asset/abdul-zreika-pMzlO7xJAd4-unsplash.jpg,HEAD,99.99195861816406,HEAD_COVER,97.83776092529297,91.7736587524414,0.002974997382757222,True
image-asset/albany-capture-7o4t241DizQ-unsplash.jpg,LEFT_HAND,96.52579498291016,HAND_COVER,90.55158996582031,99.90409851074219,0.0006278544175064571,True
image-asset/albany-capture-7o4t241DizQ-unsplash.jpg,RIGHT_HAND,99.07756805419922,HAND_COVER,99.6540756225586,98.86796569824219,0.0015548072804925372,True
image-asset/albany-capture-7o4t241DizQ-unsplash.jpg,HEAD,99.9630126953125,HEAD_COVER,99.07067108154297,97.95743560791016,0.003496202482620392,True
image-asset/albany-capture-7o4t241DizQ-unsplash.jpg,LEFT_HAND,97.50787353515625,HAND_COVER,91.99201202392578,94.81491088867188,0.0005894367408005863,True
image-asset/albany-capture-7o4t241DizQ-unsplash.jpg,RIGHT_HAND,73.11668395996094,HAND_COVER,54.438682556152344,98.8248519897461,0.0003343964890934886,True
image-asset/albany-capture-7o4t241DizQ-unsplash.jpg,LEFT_HAND,61.280941009521484,HAND_COVER,98.28208923339844,99.35975646972656,0.00026485506897114264,True
image-asset/bianca-sbircea-constantin-I-p1wEjKOTk-unsplash.jpg,RIGHT_HAND,99.09136962890625,HAND_COVER,69.3206787109375,99.98017883300781,0.006766619386624484,True
image-asset/bianca-sbircea-constantin-I-p1wEjKOTk-unsplash.jpg,HEAD,96.97793579101562,HEAD_COVER,98.50811004638672,99.58404541015625,0.013308024018214959,True
image-asset/bianca-sbircea-constantin-I-p1wEjKOTk-unsplash.jpg,HEAD,99.8919677734375,HEAD_COVER,99.2419662475586,99.98975372314453,0.009756367673033228,True
image-asset/bianca-sbircea-constantin-I-p1wEjKOTk-unsplash.jpg,HEAD,74.10013580322266,HEAD_COVER,87.67498779296875,81.49405670166016,0.005093518206562203,True
image-asset/emma-houghton-EixJzIdl4bc-unsplash.jpg,HEAD,99.52836608886719,HEAD_COVER,95.1546401977539,54.289215087890625,0.006998323981755594,False
image-asset/emmanuel-ikwuegbu-zWOgsj3j0wA-unsplash.jpg,HEAD,99.99651336669922,HEAD_COVER,96.85209655761719,99.99293518066406,0.044519551934346646,True
image-asset/eric-wang-umD2Bj4FmMU-unsplash.jpg,RIGHT_HAND,99.98649597167969,HAND_COVER,50.43400573730469,99.31295013427734,0.0018001559091264108,True
image-asset/eric-wang-umD2Bj4FmMU-unsplash.jpg,HEAD,97.72943115234375,HEAD_COVER,99.60015106201172,99.62825012207031,0.004591364874100279,True
image-asset/eric-wang-umD2Bj4FmMU-unsplash.jpg,LEFT_HAND,98.66246032714844,HAND_COVER,76.27910614013672,98.76685333251953,0.0016594947344447247,True
image-asset/eric-wang-umD2Bj4FmMU-unsplash.jpg,RIGHT_HAND,96.50077819824219,HAND_COVER,82.99170684814453,99.92324829101562,0.001582544580422826,True
image-asset/eric-wang-umD2Bj4FmMU-unsplash.jpg,HEAD,99.6715316772461,HEAD_COVER,56.448204040527344,99.83143615722656,0.0034644485463473096,True
image-asset/gordianus-ernesto-ogTklVn1vpQ-unsplash.jpg,FACE,93.69371795654297,FACE_COVER,76.43042755126953,95.85350799560547,0.0006246959850204209,False
image-asset/gordianus-ernesto-ogTklVn1vpQ-unsplash.jpg,LEFT_HAND,97.44844055175781,HAND_COVER,85.57240295410156,98.40412139892578,0.0012052542488003581,True
image-asset/gordianus-ernesto-ogTklVn1vpQ-unsplash.jpg,HEAD,99.5622329711914,HEAD_COVER,97.60758972167969,99.99394226074219,0.002342449305695604,True
image-asset/irma-yanti-FC1RUP273r8-unsplash.jpg,HEAD,99.86498260498047,HEAD_COVER,96.82875061035156,99.99688720703125,0.0009811203539444313,True
image-asset/irma-yanti-FC1RUP273r8-unsplash.jpg,FACE,94.1409683227539,FACE_COVER,99.82475280761719,99.94229125976562,0.00034885612307622785,True
image-asset/irma-yanti-FC1RUP273r8-unsplash.jpg,RIGHT_HAND,96.40764617919922,HAND_COVER,84.60848999023438,99.99264526367188,0.0006668078360962462,True
